s.no,code,Station,Latitude,Longitude
723,MJF,Malkajgiri,17.4483438,78.5289727
724,MMR,Manmad,20.2501817,74.439395
725,MV,Mayiladuturai,11.0960588,79.6342279
726,MTMI,Motumari,16.9560193,80.3207815
727,NH,Naihati,22.8870061,88.4176531
728,NYN,Naini,25.393729,81.8602035
729,NLPD,Nallapadu,16.3076829,80.3970392
730,NDL,Nandyal,15.4692214,78.4704598
731,NRKR,Narkher,21.4696773,78.5253131
732,NRL,Neral,19.0274308,73.3184369
733,GMO,Netaji Subhas Chandra Bose,23.87189,86.152647
734,NGTG,New Gitaldaha,26.0349263,89.4889402
735,NJP,New Jalpaiguri,26.6828552,88.4424796
736,NSZ,Nishatpura,23.2877133,77.4253397
737,PNVL,Panvel,18.9891659,73.1212219
738,PEH,Pathardih,23.682887,86.4283278
739,PPTA,Patliputra,25.6216198,85.0688695
740,PPR,Pipar Road,26.4518326,73.4478139
741,PRNA,Purnia,25.7953846,87.4751921
742,RC,Raichur,16.1921996,77.3395346
743,RPHR,Raipur Haryana,29.1545315,75.7709251
744,RDUM,Rampur Dumra,25.3307879,86.000642
745,RNC,Ranchi,23.3493186,85.3355688
746,RUJ,Ranuj,23.7606286,72.2136114
747,RXL,Raxaul,26.9868738,84.8447219
748,SHE,Seoraphuli,22.7748045,88.3283582
749,SKB,Shikohabad,27.0862941,78.5754177
750,SIR,Sirhind,30.623814,76.3823647
751,SMI,Sitamarhi,26.5946996,85.5054639
752,STN,Sitarampur,23.7246397,86.8963746
753,SUR,Solapur,17.6645286,75.8934941
754,SURP,Suratpura,28.6620566,75.4070367
755,TRP,Tarapur,24.830302,92.7875689
756,TATA,Tatanagar,22.7682803,86.2011172
757,VSKP,Visakhapatnam,17.7228599,83.2908589
758,YA,Yerraguntla,14.6435681,78.5338218
759,KURJ,khajuraho,24.51,79.553
